passport,economy,development,scale,draw,security,cost,name
AFG,6.924097083349967,6.007043706994975,6.192920036972103,5.661538795515558,6.427241377299931,2.5669565679037607,Afghanistan
AGO,11.130634079979085,9.604222735289655,10.249078149109755,9.228057398037247,10.360702014331475,4.227472413121062,Angola
ALB,25.88731779403516,26.24673675853987,18.950642020795055,20.010673549323137,24.014970245102056,6.85309345782373,Albania
AND,32.741584864173255,33.45035276995257,25.03942938716823,25.87935046414767,30.089427050271947,8.740550153405708,Andorra
ARE,35.937816656202315,36.293614217025265,28.07119243470537,28.280094582634636,33.08633237289079,10.169436632746738,United Arab Emirates
ARG,32.93600722693884,33.59094177719872,24.992298605262608,25.834831956075828,30.19124383284365,8.992498999949467,Argentina
ARM,14.939692948728338,14.554615769762636,12.96912347416712,12.358978610593363,12.640031027179214,5.081062108616654,Armenia
ATG,29.981430145444744,30.304651715454643,22.724006391345753,23.421884187803187,27.93458624254077,8.334948430131785,Antigua and Barbuda
AUS,34.4355194564611,35.18549951287416,26.10173654716137,27.07417857549055,32.09044113865201,9.42095018409188,Australia
AUT,34.8295397256514,35.66294550807315,26.49639537860638,27.396181715507428,32.565948657709384,9.569499685222,Austria
AZE,15.161271269736854,14.87064674515756,13.149196250174406,12.448801118053181,12.738806920624814,5.309303390546389,Azerbaijan
BDI,10.643274795856682,9.132595262464077,9.78770136896619,8.804189914232023,9.802143742696595,3.985052821956195,Burundi
BEL,35.020636106123284,35.80749865971816,26.67853550929434,27.59563868995648,32.62549106618834,9.636299987936068,Belgium
BEN,12.743307596177583,10.769961908673954,11.9438883085591,10.478765405670073,11.4515348571774,4.864588089443374,Benin
BFA,11.947751940724814,10.098433983443215,11.137784621175353,9.745654229654518,10.834264325148839,4.595277354253287,Burkina Faso
BGD,8.32848583115171,7.651867435222249,7.30888275925058,6.879927431259191,8.396001689934662,3.130443921044464,Bangladesh
BGR,34.6662996929382,35.48546301324522,26.352011207202423,27.35120682592128,32.42431465901307,9.532963774426385,Bulgaria
BHR,18.200964996253926,17.299330760032,15.757362569630631,15.03142552112706,15.21262387344494,6.213121499850183,Bahrain
BHS,31.095000381396183,31.29835894488135,23.64727703036383,24.39924297395488,29.66250968443752,8.57356952732544,Bahamas
BIH,26.535353579620775,27.130923259742115,19.675216977784785,20.68489055521134,24.223509447755955,7.201561426100472,Bosnia and Herzegovina
BLR,17.101291427405332,16.606779128883055,15.065049569834041,14.153478385032587,14.079669806171692,5.935723148189609,Belarus
BLZ,18.62481366450373,17.764536460054792,15.997026546950762,15.226386197242062,16.87694140397916,6.316593527165323,Belize
BOL,15.951580391208777,15.443678970134492,13.789234908263227,13.285921979115859,13.669107737748725,5.398014782270918,Bolivia
BRA,32.842792137578165,33.70052902876771,24.829949593755856,25.732391588431142,30.483969706691624,9.013594032431874,Brazil
BRB,31.766501489937188,32.20159494853599,24.277806897760396,24.94205627696045,29.89434604926499,8.80156270067844,Barbados
BRN,31.379065770476494,31.843099703728438,23.339530231789386,24.689152017719987,29.54856150138475,8.391072843601602,Brunei
BTN,11.863805737464274,10.774499100164032,10.346084260989388,9.838424069441919,10.145967774660335,4.217128511846291,Bhutan
BWA,14.990386771902683,13.630706313117303,13.01249028975523,12.207361518861694,13.958041988446208,5.362960500842673,Botswana
CAF,10.934393847999674,9.486009800832905,10.114249052634067,8.904642070997154,10.050994409880124,4.177796506387647,Central African Republic
CAN,34.067980593516076,34.772417947802374,25.62285332820906,26.657921601999483,32.187514718844675,9.282360015005311,Canada
CHE,34.99668147863936,35.76527459742616,26.715301940667516,27.57944133538195,32.56983094513015,9.67801176766247,Switzerland
CHL,33.33656734974203,34.08238855290684,25.040677749482047,26.109967557537285,30.31176831249855,8.905288192697332,Chile
CHN,15.97334670744563,15.15655664548074,13.837327125823276,13.007294848395173,14.170214446299669,5.67632154226393,China
CIV,11.60529361064319,9.65338773261139,11.196165737221307,9.580311887893597,10.663830359950396,4.613944230925251,Ivory Coast
CMR,10.466071902988807,8.99052206158567,9.660051022852507,8.563564861792972,9.638002241144507,3.984472706239337,Cameroon
COD,9.793016717955528,8.408295687487094,8.853439591386728,8.058522740737706,9.253855935948357,3.673269132436339,DR Congo
COG,10.469430221591987,8.875615834275033,9.86502143885824,8.662812138721527,9.863062296646747,4.030927014788452,Congo
COL,28.206541001639767,29.080776080043027,20.714703539115643,21.842205155658213,25.884836057894994,7.497460155232433,Colombia
COM,11.579915786931835,10.002630122823636,10.372784700469328,9.539963615837904,10.552335592847674,4.2757744608304495,Comoros
CPV,13.656206141157908,11.825590354837283,12.773036988772478,11.306222224946998,12.406184320582621,5.137218883928308,Cape Verde
CRI,29.961099298610954,30.669853938176217,22.333478297442632,23.534531511483717,27.76843964003937,8.021026184553337,Costa Rica
CUB,12.871020382112006,12.119081921619825,10.773267431982022,10.283979110720889,11.223290582976354,4.574992539478363,Cuba
CYP,34.297788654384306,35.004305375588245,26.21290951745447,27.133713528104526,32.21894593588745,9.473398498226182,Cyprus
CZE,34.57982431911312,35.42855426444083,26.259345590704132,27.239644670715744,32.415784214883146,9.48506203558211,Czech Republic
DEU,35.00910393441567,35.80328138513143,26.598856684131988,27.525837041303507,32.61105735611954,9.622352861547146,Germany
DJI,10.857954227724612,9.56495797669039,9.698274349995643,8.996556242376569,9.899885721134702,4.034572071399263,Djibouti
DMA,28.380434562881103,28.919771617000986,21.35811204267103,22.214233073938747,27.096791034068175,7.842873038717822,Dominica
DNK,35.0317694911905,35.80782659861405,26.690596477020662,27.57559183532677,32.630420495121136,9.64626513587207,Denmark
DOM,15.022302131748823,14.022580088887237,13.22117400730076,12.159314119170409,13.127371219112879,5.224211962262625,Dominican Republic
DZA,11.8701835472597,10.447035527832547,11.011656620389576,9.752583082703994,10.694076611387688,4.522212783338687,Algeria
ECU,18.20418620033327,17.77911956813358,15.504030137763914,14.834255054135749,15.186217877840015,6.050178359325213,Ecuador
EGY,11.03066577971173,9.994647186120085,9.83996503289019,9.096428218649804,10.199609669193972,4.127087914451875,Egypt
ERI,9.49794156955411,8.216300405427544,8.587661872264968,7.71683918670531,8.734511322577028,3.6145917535618217,Eritrea
ESP,35.196540657496534,36.05229022083716,26.63451185516621,27.642440072014036,32.94320057486928,9.627195650655441,Spain
EST,34.677526961215044,35.56118746334009,26.427581694055455,27.46839529073943,32.4646069428294,9.501980001484197,Estonia
ETH,10.104687721465286,8.820647206474716,8.949986665794007,8.252181758357619,9.134825314404534,3.7466857776025853,Ethiopia
FIN,35.08012395088757,35.79173217933047,26.697803512094357,27.63947966205867,32.67130483865357,9.65052123383085,Finland
FJI,17.531034659296377,16.758345999605595,15.077322553154024,14.461590035436641,15.963151797931744,5.887194280074486,Fiji
FRA,35.04527594968054,35.835477473069396,26.62153623982978,27.537361748251282,32.632717641493294,9.631497323662048,France
FSM,25.035566070665606,25.485065776798756,18.38564568021509,19.53139459262092,24.325928659425433,6.522115732262221,Micronesia
GAB,12.333582166286604,10.783095204187614,11.239243897007565,10.168356200081519,11.212517415002848,4.63641683890213,Gabon
GBR,34.21037101905348,34.95245646969569,25.768827901121025,26.7804834607262,32.16263552718368,9.3280260279785,United Kingdom
GEO,27.5494602052297,28.54330781500702,20.51899680366648,21.6887376377336,25.09492213359289,7.398877681924394,Georgia
GHA,13.30361913222755,11.688494506246805,12.2062602658249,11.05229102253836,12.466706820527794,5.085398528585985,Ghana
GIN,11.968023517558889,10.139679987769092,11.096292123942893,9.922669087059619,10.985339181319102,4.570152437108844,Guinea
GMB,13.436001886235228,11.627371416979624,12.291304058468942,11.019207628029656,12.668302907360344,5.149102423739366,Gambia
GNB,11.084295754614736,9.386062321878628,10.322888519381394,9.089520826393047,10.458052527629063,4.280740889198831,Guinea-Bissau
GNQ,11.719468853737524,10.129176774717402,10.803855994814064,9.572169151238011,10.695213602574063,4.461168753264253,Equatorial Guinea
GRC,34.8840294258407,35.65666499097673,26.51555333297688,27.44172212120737,32.61305717879569,9.559793882966794,Greece
